Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 1991-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2004-03-27;4,7;21,4;78,5;1,1;
2004-03-28;2,2;22,3;72;1,2;
2004-03-29;3,5;22,7;70,3;1,1;
2004-03-30;3,1;23,5;69,5;1,2;
2004-03-31;5,8;20,5;76,3;1,9;
2004-04-01;2,6;22,6;55,3;1,4;
2004-04-02;4;23,3;57,8;1,7;
2004-04-03;5,4;23,8;62,3;1;
2004-04-04;4,1;23,2;75,8;2;
2004-04-05;2,9;21,1;87,5;1,8;
2004-04-06;1,2;21,3;73,3;1,4;
2004-04-07;2;22,3;74,3;,6;
2004-04-08;2,9;23,5;71,5;1,5;
2004-04-09;2,7;23,3;71;1,5;
2004-04-10;3,7;21,5;79,8;,6;
2004-04-11;3,1;21,1;79,8;1,1;
2004-04-12;2,1;20,2;87,5;,9;
2004-04-13;,9;21,1;79;,2;
2004-04-14;2,4;21,2;77;1,1;
2004-04-15;2,6;22,3;76,3;1,9;
2004-04-16;3,3;22,2;77;,7;
2004-04-17;2,4;23,5;67,3;1,3;
2004-04-18;4,9;23,7;61,8;1,4;
2004-04-19;4,3;22,9;59,8;1,1;
2004-04-20;3,9;23,5;58,5;1;
2004-04-21;4,8;23;59,3;2,4;
2004-04-22;5,6;22,3;59,3;2,7;
2004-04-23;5;22,5;73,5;,5;
2004-04-24;3;23,2;66;1,3;
2004-04-25;3,5;23,7;66,5;1;
2004-04-26;3,7;19,2;81,3;1,9;
2004-04-27;2,1;19,7;73,5;1,6;
2004-04-28;2,6;19,4;71,5;2;
2004-04-29;3,8;18,9;58,5;2,2;
2004-04-30;4,5;18,6;60,8;,8;
2004-05-01;3,4;19,6;54,3;1,2;
2004-05-02;4;22;59;,6;
2004-05-03;4,1;22,5;62,5;1,9;
2004-05-04;4,5;22,8;61,8;1,6;
2004-05-05;4,6;22,1;67,5;1,7;
2004-05-06;3,8;22,3;63,5;1,9;
2004-05-07;3,6;22,7;62,3;,8;
2004-05-08;3,8;21,8;68,8;1,1;
2004-05-09;3,2;21,2;67;,8;
2004-05-10;2,8;20,6;66;1;
2004-05-11;3,5;21,2;67;,9;
2004-05-12;3,8;22,2;63;1;
2004-05-13;3,5;21,7;71;1,3;
2004-05-14;2,9;23,2;56;,6;
2004-05-15;5,5;23,3;66,8;1,6;
2004-05-16;2,7;21,4;68,8;1,1;
2004-05-17;3,5;21,1;75,8;1,8;
2004-05-18;2,1;20,7;79,8;,7;
2004-05-19;2,5;21,2;70,5;1;
2004-05-20;3,4;21,8;68;1,8;
2004-05-21;3,2;19,3;73,3;,9;
2004-05-22;3,4;19,4;69,5;2,6;
2004-05-23;3,9;18,7;67,3;2,4;
2004-05-24;3,1;19,8;68,3;1,3;
2004-05-25;3,2;21,3;64,3;1,3;
2004-05-26;3,3;19,7;72,8;1,5;
2004-05-27;3,4;17,6;40,3;1,2;
2004-05-28;5,4;17;70;1,9;
2004-05-29;2,8;17;86,3;,7;
2004-05-30;1,4;19,2;73,3;1,2;
2004-05-31;2;20,5;71,3;,6;
2004-06-01;2,8;20,9;63,5;1,9;
2004-06-02;3;20,6;67,5;,8;
2004-06-03;2,8;18,4;80;1,1;
2004-06-04;1,2;16,8;78,5;,9;
2004-06-05;1,8;16,6;66,3;1,1;
2004-06-06;2,3;17,9;56,3;1;
2004-06-07;3,3;17,7;57,8;1,5;
2004-06-08;3,6;18,1;62,8;1,6;
2004-06-09;3,1;19,5;66;1,4;
2004-06-10;3,2;19,8;68;1,9;
2004-06-11;2,9;18,6;64,8;1,3;
2004-06-12;2,5;20;57,5;,8;
2004-06-13;3,7;18,5;74;1,5;
2004-06-14;2,8;17,2;71,8;2,3;
2004-06-15;3,1;18,1;73,8;1,4;
2004-06-16;2,6;19,2;69;1,9;
2004-06-17;3,2;19,6;64;1,3;
2004-06-18;3,1;19,7;60,8;1,5;
2004-06-19;3,6;19;56,8;2,4;
2004-06-20;4,2;18,5;60,3;2;
2004-06-21;4,1;18,3;60,3;1,9;
2004-06-22;3,2;20;54,3;,9;
2004-06-23;3,7;18,8;67,3;1,6;
2004-06-24;4;18,6;68;2,2;
2004-06-25;3,5;18,7;62,5;2;
2004-06-26;4;18,9;64,8;2,4;
2004-06-27;3,6;19,2;67,3;1,7;
2004-06-28;4,4;19,5;62,3;1,7;
2004-06-29;3,1;18,4;72,5;1,1;
2004-06-30;3,4;19,3;65;1,6;
2004-07-01;4,6;18,8;63,5;1,6;
2004-07-02;3,5;20,2;61,3;1,2;
2004-07-03;3,7;20,8;58,8;1,5;
2004-07-04;3,9;20,7;53,5;1,4;
2004-07-05;4;20,3;54,8;,9;
2004-07-06;4,3;20,2;61;1,3;
2004-07-07;4,6;19,6;62,8;1,7;
2004-07-08;3,6;20,1;61,5;1,2;
2004-07-09;3,5;19,5;69,8;,7;
2004-07-10;2,5;20;74,8;1,3;
2004-07-11;2,3;18,4;75,8;1,1;
2004-07-12;2,6;17;74,5;2;
2004-07-13;3,4;18,3;69,8;2,6;
2004-07-14;3,7;19,7;64,8;1,9;
2004-07-15;4,3;19,5;62,8;2,4;
2004-07-16;4,2;19,5;60;1,2;
2004-07-17;3,7;19,7;61,3;2,4;
2004-07-18;4,2;18;71,5;1,5;
2004-07-19;3,2;16,8;92,3;2;
2004-07-20;2,4;15,2;81,3;2;
2004-07-21;2;14,6;65,3;1,8;
2004-07-22;3,8;14;53,3;2,5;
2004-07-23;4;14,1;53,3;1,3;
2004-07-24;4,2;14,5;52,8;1,7;
2004-07-25;4,5;14,6;54;1,6;
2004-07-26;4,6;14,6;53,3;1,1;
2004-07-27;3,7;16,1;53,3;3,7;
2004-07-28;5;15,6;55,3;1,7;
2004-07-29;5;14,9;59,5;1,9;
2004-07-30;4;16;58;1,4;
2004-07-31;3,6;17,9;51,5;1,1;
2004-08-01;3,7;19,4;55,8;1,4;
2004-08-02;4,2;20,2;56;,4;
2004-08-03;4,6;20,2;54,5;1,8;
2004-08-04;6;18,1;59,5;1,4;
2004-08-05;4,6;18,1;54;2,8;
2004-08-06;5;18,5;53,5;1,6;
2004-08-07;4,7;19,8;47,5;1,3;
2004-08-08;5,2;20,6;48,3;,9;
2004-08-09;5,3;17,1;62;1,1;
2004-08-10;4,4;16,1;55,5;1,9;
2004-08-11;4,1;17,7;48,8;,8;
2004-08-12;4,6;16,9;52;1,9;
2004-08-13;5,2;15;48,3;2,5;
2004-08-14;5,1;15,9;56,5;2;
2004-08-15;4,9;16,9;59;2;
2004-08-16;4,2;18,7;56,3;1,2;
2004-08-17;4,7;19;56,5;1,5;
2004-08-18;4,3;19,7;51;1,8;
2004-08-19;5,3;20,6;48,3;1,5;
2004-08-20;6,5;19,9;57,3;2,3;
2004-08-21;5,4;21,3;53;1,3;
2004-08-22;6,7;21,9;48,3;1,8;
2004-08-23;5,5;22,8;45;1,1;
2004-08-24;6,1;24,5;45,3;1,1;
2004-08-25;7;23,4;56,5;1,1;
2004-08-26;5;24,1;53;1,9;
2004-08-27;6,8;23,5;49,5;2,1;
2004-08-28;6,5;24,3;43,5;1,3;
2004-08-29;6,9;23,9;43,8;1,5;
2004-08-30;6,9;23,7;50;1,5;
2004-08-31;6,2;23,1;47,3;1,8;
2004-09-01;7,1;21,5;47,5;1,9;
2004-09-02;7,7;22;35,8;1,8;
2004-09-03;6,8;24,2;35,8;1,2;
2004-09-04;7,3;23,1;49,3;1,9;
2004-09-05;6,6;21,9;58;2,2;
2004-09-06;5,7;22,3;56,5;1,9;
2004-09-07;6,7;21,5;48;2,7;
2004-09-08;7,1;20,5;47,3;1,5;
2004-09-09;7,2;20,7;46,8;2,5;
2004-09-10;6,3;22,2;45,3;2,6;
2004-09-11;7,2;23;39,5;2;
2004-09-12;8,8;21,6;48,3;3;
2004-09-13;7,9;20,2;48,3;2,6;
2004-09-14;8;21,2;50,5;2,4;
2004-09-15;6,5;23,1;50,5;1,4;
2004-09-16;5,8;25;42,5;1,2;
2004-09-17;7,2;22,8;59,8;2,6;
2004-09-18;6,2;21,9;56,8;2,5;
2004-09-19;6;21,1;56;3,1;
2004-09-20;6,3;21,8;49,8;1,9;
2004-09-21;7,2;21,5;54,3;3,2;
2004-09-22;6,3;22,8;50,8;1,7;
2004-09-23;6,6;24,7;44,8;2,1;
2004-09-24;8,1;25,4;39;1,4;
2004-09-25;7,2;25,7;37,5;2,4;
2004-09-26;10,9;24,1;41,5;2,8;
2004-09-27;8,1;25,5;34,3;1,7;
2004-09-28;8;26;31,3;2,1;
2004-09-29;10;26,5;32;1,4;
2004-09-30;10;23;56,3;3,8;
2004-10-01;7,2;21,8;56,3;3,3;
2004-10-02;6;22,2;67,8;2,3;
2004-10-03;5,8;21,3;71,8;2,9;
2004-10-04;3,8;18,1;88;1;
2004-10-05;1,7;22,8;59,3;1,2;
2004-10-06;4,4;21,5;60;1,7;
2004-10-07;5,1;19,2;65;1,6;
2004-10-08;4,5;21;42,8;1,5;
2004-10-09;6,8;23,8;47,8;2,4;
2004-10-10;5,7;25,5;48,5;,6;
2004-10-11;6;22,2;78,5;1,1;
2004-10-12;3,5;22,1;70,8;2,3;
2004-10-13;4,4;23,1;64,5;1,5;
2004-10-14;5,1;25;56,5;1,5;
2004-10-15;6,2;24,2;59,5;3,5;
2004-10-16;6;23,8;48,5;1,9;
2004-10-17;8,4;24,4;55,5;1,7;
2004-10-18;7;25,7;44;2,9;
2004-10-19;9,8;25,7;43;1;
2004-10-20;6,6;22,5;61,5;2,8;
2004-10-21;5,9;20,1;72,8;3,6;
2004-10-22;4,7;20,7;59,3;3,1;
2004-10-23;5,7;21,6;51;3,1;
2004-10-24;7;24,1;51;1,8;
2004-10-25;6,4;23,6;66;1,2;
2004-10-26;4,4;23,6;68,8;2,3;
2004-10-27;3,4;25,2;55,3;,9;
2004-10-28;5,3;21,8;64,8;3,5;
2004-10-29;5;21;64,8;2,1;
2004-10-30;4,8;23,7;52;2,4;
2004-10-31;6,5;26,4;45;1,8;
2004-11-01;7,9;23,5;69,8;,8;
2004-11-02;5,7;23,6;55,5;2;
2004-11-03;7,8;23,7;48,8;1,1;
2004-11-04;8,4;25;53;2,3;
2004-11-05;7,8;26,4;49,8;1,4;
2004-11-06;8;25,1;58,5;1,6;
2004-11-07;4,3;22,9;66,8;2,9;
2004-11-08;4,3;20,6;69,3;1,5;
2004-11-09;5,2;22,7;54,8;3,4;
2004-11-10;6,5;24,4;52,3;,9;
2004-11-11;7,1;26,5;41,3;2,1;
2004-11-12;8,7;23,8;69,8;2,9;
2004-11-13;5,5;25,5;44,8;2;
2004-11-14;8;22,6;63,5;4,8;
2004-11-15;5,4;21,6;67,5;1,5;
2004-11-16;4,4;21,8;72,8;1,4;
2004-11-17;2,7;23,1;79,3;,6;
2004-11-18;1,7;22,7;83;1;
2004-11-19;2,5;22,2;87,5;1,4;
2004-11-20;1,9;23;65,3;1,7;
2004-11-21;4;21;71,8;2,7;
2004-11-22;4,4;21,4;63,5;1,9;
2004-11-23;4,6;22,1;52,8;2,5;
2004-11-24;6,4;21,9;60;2,1;
2004-11-25;6,2;24,1;51;2,6;
2004-11-26;7,3;24,8;50;1,5;
2004-11-27;6,5;25,2;50,5;1,3;
2004-11-28;6,8;23,9;69,8;3,7;
2004-11-29;2,4;21,3;86;1,7;
2004-11-30;1,4;20,7;88;,7;
2004-12-01;1,8;21,2;72,8;1,5;
2004-12-02;3,1;19,6;76;3,1;
2004-12-03;3,4;20,3;75,8;3,1;
2004-12-04;3,9;24,2;61,5;1,2;
2004-12-05;4,9;24,1;69,8;1,1;
2004-12-06;5,4;23,4;70;1,3;
2004-12-07;2,6;23,7;68,5;1,2;
2004-12-08;3,3;23,6;65,8;1,8;
2004-12-09;3,3;23,4;73,8;,8;
2004-12-10;2,5;23,4;75,3;2,1;
2004-12-11;2,1;20,9;86,3;2,2;
2004-12-12;1,5;19,8;91;1,7;
2004-12-13;,5;23;66,5;1,1;
2004-12-14;3,6;23,4;67,8;2;
2004-12-15;3,9;23,1;67,8;,8;
2004-12-16;4;23,9;62,5;1,7;
2004-12-17;4,9;24,6;64,8;1,7;
2004-12-18;4,7;23,9;69;1,5;
2004-12-19;2,8;21,9;87;1,1;
2004-12-20;1,5;22,5;88;,5;
2004-12-21;1,5;21,4;91,8;1,3;
2004-12-22;1,7;20,1;83;,9;
2004-12-23;2,2;20,3;88,8;1,2;
2004-12-24;1,1;20,4;90,5;,9;
2004-12-25;,9;23;70;1;
2004-12-26;3,9;26,3;58,3;1,3;
2004-12-27;9,5;24,8;61,3;,9;
2004-12-28;5;22,9;73,3;2,5;
2004-12-29;6,4;22,9;77;1,1;
2004-12-30;3,1;24,5;70,5;1,1;
2004-12-31;2,8;23,7;73;1;
2005-01-01;2,7;24,3;57,5;1,4;
2005-01-02;5,1;21,6;72;1,5;
2005-01-03;3,8;22,7;64,8;2;
2005-01-04;5,3;22;76,3;1;
2005-01-05;3,1;21,5;81,5;1,4;
2005-01-06;3;22,3;78,3;1,1;
2005-01-07;2,5;23,2;77;1,2;
2005-01-08;3,2;23;82;1,1;
2005-01-09;1,9;25,6;61,5;2;
2005-01-10;5,1;25,5;62,3;1,3;
2005-01-11;4,9;26,2;62,8;2,5;
2005-01-12;4,4;21,7;85,5;1,4;
2005-01-13;1;24,3;65,8;2,2;
2005-01-14;5,1;24;65,5;1,1;
2005-01-15;5;25,6;59;1,2;
2005-01-16;2,9;25,6;74;2;
2005-01-17;3;22,6;84,3;1,2;
2005-01-18;1,4;23;88,5;,9;
2005-01-19;1,4;20,7;93,3;,7;
2005-01-20;1;24,5;72,8;1,1;
2005-01-21;3,2;22,5;77,5;,9;
2005-01-22;2,8;24,9;68,5;1,2;
2005-01-23;3,9;26,5;58,5;1,1;
2005-01-24;5,5;26,3;64,8;1,4;
2005-01-25;4;24,9;67,3;1,5;
2005-01-26;4,9;24,2;76;2,5;
2005-01-27;2,2;21,4;84,8;1,9;
2005-01-28;2,3;22,7;75;2,1;
2005-01-29;3,4;21,8;82,8;1,5;
2005-01-30;5,2;22,1;78,3;1,6;
2005-01-31;,4;23,6;70,5;,9;
2005-02-01;null;21,1;80,5;1,5;
2005-02-02;3;19,8;90;1,2;
2005-02-03;1,5;23,2;74,8;1,9;
2005-02-04;3,6;25,7;56,8;2;
2005-02-05;5,9;22,7;82,5;1,3;
2005-02-06;2,2;23,4;76,5;1,1;
2005-02-07;4,2;20,7;59;2,1;
2005-02-08;5,2;20,7;57,3;2,5;
2005-02-09;5,7;20,7;59;1,8;
2005-02-10;5,2;20,8;64,8;1,9;
2005-02-11;4,1;24,2;54;2;
2005-02-12;5,7;24,4;68;1,8;
2005-02-13;4,1;23,9;65,5;2,1;
2005-02-14;5;24,8;53,8;2;
2005-02-15;6,5;25,2;61;1,4;
2005-02-16;5,7;24,3;66,8;1,8;
2005-02-17;3,8;24,3;74,3;1,1;
2005-02-18;3,4;23,5;78;1,1;
2005-02-19;2,7;22,1;83,8;1,5;
2005-02-20;1,7;24,3;61;2;
2005-02-21;5,3;23,5;60;1,1;
2005-02-22;5,1;24,3;60,5;1,5;
2005-02-23;4,6;25,7;60;1,2;
2005-02-24;5,5;25,6;63,8;1,5;
2005-02-25;4,5;25,3;61,8;1,6;
2005-02-26;4;23,4;79;2,6;
2005-02-27;2,8;24;71;1,9;
2005-02-28;3,6;24,5;78;,7;
2005-03-01;3;23,5;77;,6;
2005-03-02;2,8;19,7;89;1,5;
2005-03-03;1;18,6;94;1,4;
2005-03-04;,7;19,6;92,8;1,2;
2005-03-05;,6;20,4;90;,5;
2005-03-06;1,4;23,7;74,3;,6;
2005-03-07;3,8;23,9;70,8;1,7;
2005-03-08;4,4;24,5;71;1,8;
2005-03-09;3,6;24,4;77;,8;
2005-03-10;3,5;24,4;77,3;1,1;
2005-03-11;2,6;23,2;81,8;1,2;
2005-03-12;2,6;25,4;68,5;,7;
2005-03-13;5,1;25,8;62,3;1,7;
2005-03-14;5,3;25,2;68,8;1,6;
2005-03-15;4,4;23,3;80,3;1;
2005-03-16;2,2;23,2;77,5;,5;
2005-03-17;3,1;23,7;77;1,4;
2005-03-18;2,7;22,8;80,8;,9;
2005-03-19;2,2;23,6;81,8;,8;
2005-03-20;2,3;22,1;82,3;,9;
2005-03-21;2,5;23,9;78,5;1,3;
2005-03-22;3,8;24,6;72,8;1,9;
2005-03-23;6,2;24,5;73;1,9;
2005-03-24;4,4;25,1;75,3;1,4;
2005-03-25;4,7;22,7;85;1,8;
2005-03-26;1,5;21,9;80,5;1,6;
2005-03-27;3,1;22,3;86,3;1,3;
2005-03-28;3,1;22,4;74;2,4;
2005-03-29;5,3;22,6;71,5;2,1;
2005-03-30;4,9;23,3;72,3;1,5;
2005-03-31;4,9;23,8;71,3;2;
2005-04-01;5,2;23,6;72,5;3,2;
2005-04-02;5,5;23,3;77,5;1,2;
2005-04-03;4,8;24,2;69;1,6;
2005-04-04;4,9;24,9;67,8;,9;
2005-04-05;5,7;25,6;69;1,4;
2005-04-06;7,3;24,9;70;1,5;
2005-04-07;5;24,1;74,3;1,6;
2005-04-08;5,1;24,8;73,8;1,2;
2005-04-09;5,1;24,7;67,8;2,3;
2005-04-10;6,5;24,2;70;2,1;
2005-04-11;7,2;23,8;70,8;2;
2005-04-12;6,3;24,1;68,8;2,5;
2005-04-13;4,9;24;67;,9;
2005-04-14;5,7;23,7;69;2,3;
2005-04-15;5,2;23,8;71;1,4;
2005-04-16;5,3;23,9;67,3;1,4;
2005-04-17;5,1;23,3;97,8;1,3;
2005-04-18;3,5;23,6;67,3;2,5;
2005-04-19;4,5;23;70,3;2;
2005-04-20;4,5;23,5;75,3;,5;
2005-04-21;3,7;24,3;72,8;1,5;
2005-04-22;3,8;23,7;74,5;1,2;
2005-04-23;4,1;23,5;76,5;1;
2005-04-24;4,2;23,8;72;1,6;
2005-04-25;4,3;23,3;75,8;,9;
2005-04-26;3,5;20,6;87;1,8;
2005-04-27;3,1;18,3;78,8;2,1;
2005-04-28;2,7;19,7;82,3;2,2;
2005-04-29;2,6;21,6;81;,9;
2005-04-30;2,3;20,8;86,5;,7;
2005-05-01;1,9;18,9;70,5;1,9;
2005-05-02;4,6;18,6;72;1,3;
2005-05-03;5;18,6;58,8;1,9;
2005-05-04;4,6;18,7;63;1;
2005-05-05;4,7;19,4;62;1,4;
2005-05-06;4,6;19,8;66,3;2,1;
2005-05-07;3,6;20,9;63,8;1,5;
2005-05-08;4,7;20,8;66;1,5;
2005-05-09;5,2;21,1;69,5;1,8;
2005-05-10;4,5;21,1;70,8;2,3;
2005-05-11;4;21,9;66,3;1,6;
2005-05-12;4,8;22,3;65,5;2,3;
2005-05-13;4,9;21,8;62,5;3,1;
2005-05-14;5;21,1;67,3;1,9;
2005-05-15;4,5;20,9;66,3;1,9;
2005-05-16;4,3;21,5;69;1;
2005-05-17;3,7;22,4;66,3;1;
2005-05-18;3,7;22,1;65,8;1,5;
2005-05-19;4,4;22,9;63,3;1;
2005-05-20;4,2;23,5;60,8;1,1;
2005-05-21;4,8;23,5;57,3;1,1;
2005-05-22;5,5;22;67,5;,8;
2005-05-23;3,4;19,7;85;,4;
2005-05-24;1,6;20,4;82;1,2;
2005-05-25;1,7;19,6;86,3;1,1;
2005-05-26;1,8;18,6;79;,7;
2005-05-27;2,9;18,8;69,8;2,1;
2005-05-28;4,5;18,3;64,3;1,8;
2005-05-29;5,5;19,5;71,8;1,1;
2005-05-30;4,2;19,1;75,8;1,8;
2005-05-31;3,8;19,9;75,5;1,8;
2005-06-01;4,4;20;67,8;1,7;
2005-06-02;4,5;18,7;76,5;2;
2005-06-03;2,7;19,6;73,8;2;
2005-06-04;5,2;19,3;66,8;1,8;
2005-06-05;4,5;19,6;66,5;2,1;
2005-06-06;4,1;19;73;1,4;
2005-06-07;3,8;18,9;72,3;1,4;
2005-06-08;4,2;19,7;61,5;1,5;
2005-06-09;5,4;19,4;57,3;2,3;
2005-06-10;5,7;19,2;67;1,8;
2005-06-11;5,4;19,1;65,5;2,4;
2005-06-12;5;19,5;63,5;2,2;
2005-06-13;4,4;19,9;62;1,5;
2005-06-14;4,6;20,1;60,3;2,1;
2005-06-15;4,8;20,2;65,3;1,9;
2005-06-16;4,2;19,9;66,3;,9;
2005-06-17;3,4;21;57,8;1,3;
2005-06-18;3,9;21,5;53,8;1,6;
2005-06-19;4,2;19,4;72,5;1,2;
2005-06-20;3;21,7;62,5;1,7;
2005-06-21;4,3;19,3;68,5;1,7;
2005-06-22;4,2;16,8;73,5;2,5;
2005-06-23;3,5;16,6;69;2,1;
2005-06-24;3,5;18,2;58,8;1,1;
2005-06-25;4,6;18,2;57,8;1;
2005-06-26;4,8;18,3;61,8;1,4;
2005-06-27;3,7;19,2;64,3;1,7;
2005-06-28;3,7;20,1;73;1,5;
2005-06-29;3,5;19,8;72;1,8;
2005-06-30;3,1;20,6;65,5;,5;
2005-07-01;3,4;21,2;62;1,8;
2005-07-02;5,3;20,3;58,3;1,2;
2005-07-03;4,7;19,9;48,3;1,3;
2005-07-04;4,6;19,5;57,5;,5;
2005-07-05;4,8;19,9;51,5;,9;
2005-07-06;4,9;20,9;52,5;1,3;
2005-07-07;6,5;16,4;72,5;2,2;
2005-07-08;5,3;14,9;62,5;3,6;
2005-07-09;6,2;14,6;51,8;2;
2005-07-10;4,8;15,4;73,8;,9;
2005-07-11;3,1;16,4;66;1,6;
2005-07-12;3,7;17,3;61,5;2,3;
2005-07-13;5,3;17,5;50,5;1,5;
2005-07-14;6,7;17,7;55,5;2,1;
2005-07-15;5,4;17,5;68,5;1,9;
2005-07-16;4;18,5;63,8;2,3;
2005-07-17;3,5;20,3;54,5;1,3;
2005-07-18;4,7;22,5;47,8;1,4;
2005-07-19;5,2;19,2;69,5;,6;
2005-07-20;2,7;18,2;73,3;,7;
2005-07-21;4;18,7;63,8;1,5;
2005-07-22;5,8;19,3;59,3;1,6;
2005-07-23;5,2;19,7;58,3;,4;
2005-07-24;4,5;20,2;59,8;1,6;
2005-07-25;4,8;21,2;54,3;1,6;
2005-07-26;5;22,1;56;1,2;
2005-07-27;5,2;19,8;69,5;1,9;
2005-07-28;4,2;20,2;62;1,7;
2005-07-29;4,4;20;54;1,2;
2005-07-30;5,7;19,9;53,8;2,2;
2005-07-31;6,9;19,5;51,8;2,6;
2005-08-01;7;18,3;54,3;1,5;
2005-08-02;6,4;19;46,8;2,3;
2005-08-03;7;19;51,8;2,1;
2005-08-04;6,6;19,3;51,3;1,9;
2005-08-05;7;19,1;54,5;1,7;
2005-08-06;6,6;20,2;53,3;2;
2005-08-07;6,2;19,1;53,5;2,4;
2005-08-08;6,4;19,5;49,5;2;
2005-08-09;6,7;20,3;52;,7;
2005-08-10;5,4;20,6;57,8;1,5;
2005-08-11;4,4;21,3;60,8;1,3;
2005-08-12;4,8;21,7;63,3;2,2;
2005-08-13;5,3;22,2;63,5;2;
2005-08-14;6;21,4;57,3;2,1;
2005-08-15;6,6;21;55,8;3;
2005-08-16;6,8;20;65,5;2,6;
2005-08-17;6,1;20,4;65,3;1,7;
2005-08-18;4,7;21,1;58,5;2,8;
2005-08-19;6;21,1;54,3;3,1;
2005-08-20;6,5;20,4;57;1,9;
2005-08-21;6,7;20,3;48,8;2,7;
2005-08-22;7,6;19,9;53;2,5;
2005-08-23;7,6;20,7;44,3;1,3;
2005-08-24;7,4;22,5;42,5;1,4;
2005-08-25;6,1;24,3;47,5;1,5;
2005-08-26;7;21,7;60,5;2,1;
2005-08-27;6,9;22,2;49,3;2;
2005-08-28;6,9;22,1;50,8;,4;
2005-08-29;8,1;22,7;45,5;1,2;
2005-08-30;7,3;25,7;41;1,5;
2005-08-31;8,2;25,8;50,3;1,7;
2005-09-01;9,2;22,8;55;2,1;
2005-09-02;7,4;22,9;65;1,3;
2005-09-03;5,4;22,7;58;2,6;
2005-09-04;7,1;21,7;53,3;1,8;
2005-09-05;6,7;21;63,3;1,5;
2005-09-06;4,6;23,6;56,8;1,1;
2005-09-07;5,6;20;71,3;1,2;
2005-09-08;5,1;21,1;62,8;3,9;
2005-09-09;6,1;20,2;65,5;3;
2005-09-10;6,3;20,9;62,3;3;
2005-09-11;5,8;22,4;53;1,6;
2005-09-12;6,3;23,5;45;1,5;
2005-09-13;7,8;22,1;59,5;2,1;
2005-09-14;6,3;20,6;66,5;3,2;
2005-09-15;5,7;21,3;61;1,9;
2005-09-16;6,1;24,5;99,8;2,5;
2005-09-17;6;24,4;57,5;1,9;
2005-09-18;5,2;20;79,8;1,2;
2005-09-19;2,4;20,7;72,8;,9;
2005-09-20;2,3;24;53;1,7;
2005-09-21;6,4;21,8;50,5;1,7;
2005-09-22;6,1;21,6;51;1,6;
2005-09-23;1,9;21,3;63;2,7;
2005-09-24;5,3;22,8;61;2;
2005-09-25;5,7;21,8;75,3;1,1;
2005-09-26;3,3;21,2;81,5;,6;
2005-09-27;2,6;18,1;76;1,8;
2005-09-28;3,7;17,8;71,5;2,8;
2005-09-29;4,5;19,4;63,3;2,2;
2005-09-30;5,7;20,9;55,8;2,1;
2005-10-01;7,9;22,8;52,8;1,1;
2005-10-02;7,7;22,1;62;2,1;
2005-10-03;6,3;20,6;68,3;2,7;
2005-10-04;5,6;22,6;58,5;1,7;
2005-10-05;6,8;24,3;55;2,8;
2005-10-06;6,6;24,7;62,3;1,9;
2005-10-07;6,8;24,1;50,3;1,8;
2005-10-08;9,7;23,3;41,5;3,3;
2005-10-09;10,4;24,1;48,3;1,5;
2005-10-10;9,4;23,9;43,3;2,5;
2005-10-11;11,4;24,2;44,5;2,7;
2005-10-12;11,3;25,1;41,5;2,4;
2005-10-13;11,7;25,6;40;2,1;
2005-10-14;11,6;27,2;38,3;1,5;
2005-10-15;8,1;28,4;33,8;1,1;
2005-10-16;11,6;26;45,5;3,2;
2005-10-17;9;27,8;26,8;1,8;
2005-10-18;13,2;28,3;27;1,5;
2005-10-19;11;22,9;64,3;3,2;
2005-10-20;7;22,6;50,3;2,5;
2005-10-21;9,2;23,8;39,3;2,7;
2005-10-22;10,9;24,2;48,8;2,3;
2005-10-23;7,4;25;54,3;1,4;
2005-10-24;8,3;25,1;56,5;3,2;
2005-10-25;8;25,1;52,5;1;
2005-10-26;8,4;26,2;56,3;1,3;
2005-10-27;5,7;25,5;60;,7;
2005-10-28;5,5;26,2;59,8;,6;
2005-10-29;4,4;24,5;63;,9;
2005-10-30;3,9;22,2;76,8;1,8;
2005-10-31;3;21,8;81;1,1;
2005-11-01;2;22;73;2;
2005-11-02;3,8;19,9;81;1,4;
2005-11-03;2,4;20,8;78,3;1,9;
2005-11-04;3,4;21,3;76,8;2,2;
2005-11-05;3,8;23,1;68,8;1,6;
2005-11-06;4,8;23,4;65,8;1,8;
2005-11-07;4,2;24;67,3;1,5;
2005-11-08;5;22,2;70;1,1;
2005-11-09;5,1;20,7;72,3;2,4;
2005-11-10;4,4;17,6;85;2,2;
2005-11-11;2,1;16,9;78,3;2;
2005-11-12;3;17,2;80,5;2,3;
2005-11-13;2,7;19,8;67,8;1,8;
2005-11-14;4,7;21,1;58;1,2;
2005-11-15;5,9;23,3;58;2,1;
2005-11-16;6,1;24,5;56,5;1,5;
2005-11-17;5,5;22,7;77;1,5;
2005-11-18;3,1;21,2;82;,5;
2005-11-19;1,5;22,2;84;1,9;
2005-11-20;1,2;23;72,5;1,5;
2005-11-21;3,9;21,6;73,8;2,7;
