Codigo;Data;Ano;Mes;Prec;Tmed;Tmax;Tmin
83695;30/06/2003;2003;6;0;21,789333;29,8;16,386667
83695;31/07/2003;2003;7;6,5;20,66;28,467742;14,748387
83695;31/08/2003;2003;8;72,2;21,036667;27,487097;16,4
83695;30/09/2003;2003;9;88,5;22,174;27,703333;17,978571
83695;31/10/2003;2003;10;75,7;23,538065;29,509677;19,283871
83695;30/11/2003;2003;11;276;25,181333;30,7;21,126667
83695;31/12/2003;2003;12;293,3;25,870323;31,512903;22,070968
83695;31/01/2004;2004;1;342,2;25,113548;30,245161;21,851613
83695;29/02/2004;2004;2;148,1;25,63;30,734483;22,035714
83695;31/03/2004;2004;3;148,3;24,966452;30,729032;21,232258
83695;30/04/2004;2004;4;78,1;24,537333;30,08;21,093333
83695;31/05/2004;2004;5;21,1;22,307097;28,025806;18,045161
83695;30/06/2004;2004;6;32,5;20,286;26,443333;16,02
83695;31/07/2004;2004;7;23,9;19,436129;25,351613;15,158065
83695;31/08/2004;2004;8;13,6;21,149032;27,987097;16,151613
83695;30/09/2004;2004;9;5,8;23,893333;31,713333;18,110345
83695;31/10/2004;2004;10;109,2;23,942581;29,416129;20,090323
83695;30/11/2004;2004;11;82,6;25,109333;30,836667;20,93
83695;31/12/2004;2004;12;340;25,179333;30,570968;21,8
83695;31/01/2005;2005;1;104,2;26,625806;32,135484;22,8
83695;28/02/2005;2005;2;159,2;25,568571;31,692857;21,585714
83695;31/03/2005;2005;3;260,3;26,017419;31,441935;22,522581
83695;30/04/2005;2005;4;61,4;25,474483;31,406897;21,586207
83695;31/05/2005;2005;5;77,5;22,802581;28,206452;19,077419
83695;30/06/2005;2005;6;87,4;21,151333;26,833333;17,343333
83695;31/07/2005;2005;7;48,5;19,984516;25,870968;15,83871
83695;31/08/2005;2005;8;4,1;22,393548;29,354839;17,380645
83695;30/09/2005;2005;9;104,2;22,688;28,226667;18,96
83695;31/10/2005;2005;10;11,7;25,702581;32,319355;20,741935
83695;30/11/2005;2005;11;165,2;23,898667;28,546667;20,473333
83695;31/12/2005;2005;12;254,6;24,816774;29,954839;20,683871
83695;31/01/2006;2006;1;132,5;27,271613;34,087097;22,096774
83695;28/02/2006;2006;2;168;27,717778;34,421429;22,885714
83695;31/03/2006;2006;3;103,1;26,479355;32,33871;22,76129
83695;30/04/2006;2006;4;58,5;24,341333;29,803333;20,706667
83695;31/05/2006;2006;5;52,2;21,343871;27,73871;16,974194
83695;30/06/2006;2006;6;4,5;20,559333;27,25;15,753333
83695;31/07/2006;2006;7;7,1;20,379355;28,806452;14,16129
83695;31/08/2006;2006;8;5,5;22,439355;29,893548;16,980645
83695;30/09/2006;2006;9;47,8;22,28;28,973333;17,346667
83695;31/10/2006;2006;10;125;23,938065;29,651613;20,122581
83695;30/11/2006;2006;11;261,4;24,504;29,826667;21,213333
83695;31/12/2006;2006;12;227,3;25,703226;31,187097;22,103226
83695;31/01/2007;2007;1;353,8;25,851613;30,883871;22,63871
83695;28/02/2007;2007;2;138,9;26,185714;32,107143;22,235714
83695;31/03/2007;2007;3;34,5;27,252903;34,193548;22,380645
83695;30/04/2007;2007;4;64,2;25,401333;31,33;21,376667
83695;31/05/2007;2007;5;18,9;21,772258;28,183871;17,083871
83695;30/06/2007;2007;6;1,8;21,362667;29,356667;15,29
83695;31/07/2007;2007;7;11;21,554194;29,125806;15,987097
83695;31/08/2007;2007;8;10,2;22,085806;29,8;16,306452
83695;30/09/2007;2007;9;26,9;23,13;30,91;17,693333
83695;31/10/2007;2007;10;143;25,148387;32,522581;20,354839
83695;30/11/2007;2007;11;114,3;25,101333;30,54;21,42
83695;31/12/2007;2007;12;245,5;26,375484;32,619355;22,2
83695;31/01/2008;2008;1;185,3;25,372903;30,845161;21,4
83695;29/02/2008;2008;2;230,2;26,129655;32,048276;22,241379
83695;31/03/2008;2008;3;75,3;26,007097;31,809677;22,245161
83695;30/04/2008;2008;4;165,3;25,138667;30,683333;21,43
83695;31/05/2008;2008;5;13,4;21,909032;28,190323;17,425806
83695;30/06/2008;2008;6;3,2;21,047333;27,083333;16,833333
83695;31/07/2008;2008;7;16,1;20,158065;27,974194;14,319355
83695;31/08/2008;2008;8;11,5;22,618065;30,258065;17,354839
83695;30/09/2008;2008;9;56,5;22,762857;29,093103;18,127586
83695;31/10/2008;2008;10;50,2;24,604516;30,474194;20,509677
83695;30/11/2008;2008;11;285,8;25,012;29,006667;21,635
83695;31/12/2008;2008;12;406,4;24,449677;29,241935;21,329032
83695;31/01/2009;2009;1;377,2;25,998065;31,445161;22,416129
83695;28/02/2009;2009;2;176,4;26,820714;32,957143;22,610714
83695;31/03/2009;2009;3;203,5;26,653793;32,56129;22,803226
83695;30/04/2009;2009;4;82,9;24,024667;29,22;20,37
83695;31/05/2009;2009;5;4,2;22,402;28,558065;18,093548
83695;30/06/2009;2009;6;78,2;20,280667;26,533333;15,77
83695;31/07/2009;2009;7;0,7;21,643871;27,758065;16,996774
83695;31/08/2009;2009;8;19,9;21,767742;28,167742;17,051613
83695;30/09/2009;2009;9;131,5;24,541333;31,21;19,816667
83695;31/10/2009;2009;10;105,2;24,609032;30,116129;21,045161
83695;30/11/2009;2009;11;73,3;27,482667;33,92;22,766667
83695;31/12/2009;2009;12;228,1;26,322667;32,167742;22,348387
83695;31/01/2010;2010;1;99,3;28,36129;35,254839;23,229032
83695;28/02/2010;2010;2;59,9;28,670714;36,371429;23,432143
83695;31/03/2010;2010;3;129,3;26,900645;33,029032;22,867742
83695;30/04/2010;2010;4;55,2;24,458667;30,48;20,253333
83695;31/05/2010;2010;5;21,6;22,549677;29,170968;17,887097
83695;30/06/2010;2010;6;0;19,892;27,48;13,993333
83695;31/07/2010;2010;7;23,3;21,58129;28,125806;16,658065
83695;31/08/2010;2010;8;11,7;20,942581;28,945161;14,683871
83695;30/09/2010;2010;9;14,6;23,465333;31,093333;17,726667
83695;31/10/2010;2010;10;156,3;23,705161;29,590323;19,941935
83695;30/11/2010;2010;11;362,3;24,057333;29,163333;20,776667
83695;31/12/2010;2010;12;383,7;26,744516;32,487097;22,9
83695;31/01/2011;2011;1;70,3;27,323226;33,335484;23,022581
83695;28/02/2011;2011;2;56,4;27,721429;35,217857;22,753571
83695;31/03/2011;2011;3;480,8;25,230968;30,003226;22,3
83695;30/04/2011;2011;4;52;24,802;29,95;21,38
83695;31/05/2011;2011;5;22,6;21,330968;27,225806;17,016129
83695;30/06/2011;2011;6;11,6;20,092667;26,45;15,526667
83695;31/07/2011;2011;7;2,9;20,23871;27,606452;14,606452
83695;31/08/2011;2011;8;0;22,533548;30,129032;16,748387
83695;30/09/2011;2011;9;12,2;21,888667;29,033333;16,603333
83695;31/10/2011;2011;10;149,9;23,814194;29,703226;19,864516
83695;30/11/2011;2011;11;152,6;23,144;28,453333;19,36
83695;31/12/2011;2011;12;176,8;25,067742;29,996774;21,922581
83695;31/01/2012;2012;1;345,5;25,569677;31,058065;21,880645
83695;29/02/2012;2012;2;11;26,895862;33,513793;21,944828
83695;31/03/2012;2012;3;207,1;26,289032;32,493548;22,016129
83695;30/04/2012;2012;4;88;24,874;30,45;21,146667
83695;31/05/2012;2012;5;130,4;21,387097;26,825806;17,522581
83695;30/06/2012;2012;6;14,7;21,893333;27,783333;17,87
83695;31/07/2012;2012;7;9,5;21,067742;28,922581;15,416129
83695;31/08/2012;2012;8;38,2;21,104516;27,767742;16,419355
83695;30/09/2012;2012;9;44,9;23,016667;30,423333;17,286667
83695;31/10/2012;2012;10;38;25,874194;33,341935;20,474194
83695;30/11/2012;2012;11;235,8;24,346667;29,41;21,056667
83695;31/12/2012;2012;12;61,5;28,032258;34,603226;23,480645
83695;31/01/2013;2013;1;200,7;26,7;32,493548;22,735484
83695;28/02/2013;2013;2;72,1;27,225;33,689286;22,578571
83695;31/03/2013;2013;3;275;25,767097;31,006452;22,3
83695;30/04/2013;2013;4;18,6;23,376667;28,896667;19,646667
83695;31/05/2013;2013;5;30,1;21,994194;28,480645;17,43871
83695;30/06/2013;2013;6;31,6;22,002667;28,623333;17,67
83695;31/07/2013;2013;7;16,2;21,153548;27,777419;16,409677
83695;31/08/2013;2013;8;34,1;21,548387;29,164516;15,790323
83695;30/09/2013;2013;9;51,9;23,084;29,73;18,29
83695;31/10/2013;2013;10;49,1;23,741935;29,803226;19,422581
83695;30/11/2013;2013;11;159;24,807333;30,98;20,603333
83695;31/12/2013;2013;12;436,1;25,567742;31,158065;22,235484
83695;31/01/2014;2014;1;21;27,676129;34,729032;22,76129
83695;28/02/2014;2014;2;66,9;27,761429;35,042857;22,7
83695;31/03/2014;2014;3;139,2;26,119355;31,974194;22,158065
83695;30/04/2014;2014;4;102,1;24,588;30,293333;20,886667
83695;31/05/2014;2014;5;47;22,508387;28,922581;17,612903
83695;30/06/2014;2014;6;6,3;21,701333;28,73;16,916667
83695;31/07/2014;2014;7;28,8;20,993548;26,951613;16,706452
83695;31/08/2014;2014;8;18,9;21,405161;29,103226;15,651613
83695;30/09/2014;2014;9;10,7;24,056667;32,286667;17,876667
83695;31/10/2014;2014;10;158,8;24,457419;31,790323;19,032258
