Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1993-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2009-07-31;,7;27,758065;21,643871;16,996774;
2009-08-31;19,9;28,167742;21,767742;17,051613;
2009-09-30;131,5;31,21;24,541333;19,816667;
2009-10-31;105,2;30,116129;24,609032;21,045161;
2009-11-30;73,3;33,92;27,482667;22,766667;
2009-12-31;228,1;32,167742;26,322667;22,348387;
2010-01-31;99,3;35,254839;28,36129;23,229032;
2010-02-28;59,9;36,371429;28,670714;23,432143;
2010-03-31;129,3;33,029032;26,900645;22,867742;
2010-04-30;55,2;30,48;24,458667;20,253333;
2010-05-31;21,6;29,170968;22,549677;17,887097;
2010-06-30;0;27,48;19,892;13,993333;
2010-07-31;23,3;28,125806;21,58129;16,658065;
2010-08-31;11,7;28,945161;20,942581;14,683871;
2010-09-30;14,6;31,093333;23,465333;17,726667;
2010-10-31;156,3;29,590323;23,705161;19,941935;
2010-11-30;362,3;29,163333;24,057333;20,776667;
2010-12-31;383,7;32,487097;26,744516;22,9;
2011-01-31;70,3;33,335484;27,323226;23,022581;
2011-02-28;56,4;35,217857;27,721429;22,753571;
2011-03-31;480,8;30,003226;25,230968;22,3;
2011-04-30;52;29,95;24,802;21,38;
2011-05-31;22,6;27,225806;21,330968;17,016129;
2011-06-30;11,6;26,45;20,092667;15,526667;
2011-07-31;2,9;27,606452;20,23871;14,606452;
2011-08-31;0;30,129032;22,533548;16,748387;
2011-09-30;12,2;29,033333;21,888667;16,603333;
2011-10-31;149,9;29,703226;23,814194;19,864516;
2011-11-30;152,6;28,453333;23,144;19,36;
2011-12-31;176,8;29,996774;25,067742;21,922581;
2012-01-31;345,5;31,058065;25,569677;21,880645;
2012-02-29;11;33,513793;26,895862;21,944828;
2012-03-31;207,1;32,493548;26,289032;22,016129;
2012-04-30;88;30,45;24,874;21,146667;
2012-05-31;130,4;26,825806;21,387097;17,522581;
2012-06-30;14,7;27,783333;21,893333;17,87;
2012-07-31;9,5;28,922581;21,067742;15,416129;
2012-08-31;38,2;27,767742;21,104516;16,419355;
2012-09-30;44,9;30,423333;23,016667;17,286667;
2012-10-31;38;33,341935;25,874194;20,474194;
2012-11-30;235,8;29,41;24,346667;21,056667;
2012-12-31;61,5;34,603226;28,032258;23,480645;
